reg_no,name,t1_2025後期,t2_2026前期,今期
015158,猪野 泰介,,70.62,67.09
015188,浜田 翔平,68.24,67.89,67
015253,清水 健次,,70.36,66.5
015283,安本 昇平,,79.80,68.66
015290,真崎 章徳,69.22,68.63,65.88
015295,篠田 樹,,70.36,69.50
015355,磯村 蓮太,70.46,69.76,67.33
015367,南 蓮,69.14,69.29,68.83
015425,藤野 竜也,,70.05,69.83
015571,吉田 悟,69.33,68.1,67
015710,鈴木 康平,67.41,69.05,64.88
015824,中嶋 響,71.76,75.44,64
015900,花田 雄飛,,70.38,69.50
015905,上野 幸星,,70.10,66.75
015966,近内 三孝,,69.66,64.88
015972,佐藤 凱王,,72.00,67.00
015994,林 欣司,,70.00,69.44
016002,宮田 龍一,,70.66,63.00
016005,清家 大夢,,67,69.11
016010,駒壽 直人,,68.75,69
016012,藤井 凜太郎,,69,62.66
