reg_no,name,grade,score,entries,racing_now,today_race,starts,dq,form_emoji,form_avg,retired
011790,廣川 貞治,A3,66.42,大宮@10/12-10/14;前橋@10/21-10/23,奈良,奈良Ｆ２@09/24/5R;奈良Ｆ２@09/25/1R;奈良Ｆ２@09/26/1R,19,0,🥺,6.2,
011792,木下 章,A3,68.12,前橋@09/30-10/02;静岡@10/07-10/09;防府@10/23-10/25,,,24,0,,3.6,
011800,三住 博昭,A2,80.91,いわき平@09/27-09/29;松山@10/04-10/06;川崎@10/20-10/22,,,22,0,🥺,5.0,
011803,植田 誠,A3,68.62,松戸@10/03-10/05;武雄@10/27-10/29,,,24,0,,4.4,
011817,有賀 高士,A2,78.84,広島@10/18-10/20;大垣@10/27-10/29,,,13,0,🥺,5.0,
011821,中川 博文,A3,68.94,いわき平@10/04-10/06;四日市@10/16-10/18;久留米@10/27-10/29,,,18,0,🥺,4.6,
011840,安田 光義,A2,,,,,0,0,,,
011854,紫原 政文,A1,87.53,久留米@10/01-10/03;高知@10/17-10/19,,,15,0,🚀,3.0,
011907,島野 浩司,A1,85.16,佐世保@09/30-10/02;四日市@10/16-10/18;久留米@10/27-10/29,,,15,0,,4.2,
011935,高嶋 一朗,A3,70.62,奈良@09/30-10/02;高知@10/07-10/09;名古屋@10/30-11/01,川崎,川崎Ｆ２@09/24/6R;川崎Ｆ２@09/25/1R;川崎Ｆ２@09/26/3R,24,0,,3.6,
011990,茂木 和臣,A3,68.04,平塚@09/28-09/30;静岡@10/07-10/09;青森@10/19-10/21;名古屋@10/30-11/01,,,23,1,🥺,5.0,
011993,深井 高志,A3,70.29,松戸@10/03-10/05;大宮@10/12-10/14,川崎,川崎Ｆ２@09/24/2R;川崎Ｆ２@09/25/3R;川崎Ｆ２@09/26/4R,17,0,,3.2,
011994,藤光 健一,A3,66.00,平塚@10/03-10/05;前橋@10/13-10/15;大宮@10/22-10/24,,,10,0,🥺,5.6,
012005,藤田 和彦,A3,69.36,大宮@10/12-10/14;川崎@10/20-10/22;名古屋@10/30-11/01,弥彦,弥彦Ｆ２@09/24/7R;弥彦Ｆ２@09/25/4R;弥彦Ｆ２@09/26/1R,22,0,,4.2,
012042,山原 利秀,A2,82.04,四日市@10/07-10/09;広島@10/18-10/20,熊本,熊本Ｆ２@09/24/4R;熊本Ｆ２@09/25/2R;熊本Ｆ２@09/26/1R,21,0,,4.0,
012092,高木 隆弘,A3,73.30,静岡@10/07-10/09;青森@10/19-10/21;武雄@10/27-10/29,奈良,奈良Ｆ２@09/24/3R;奈良Ｆ２@09/25/2R;奈良Ｆ２@09/26/2R,10,0,,4.0,
012097,斯波 雅貴,A2,80.85,いわき平@09/27-09/29;宇都宮@10/30-11/01,,,21,0,🥺,6.0,
012112,冨岡 健一,A2,81.80,玉野@09/27-09/29;大垣@10/06-10/08;豊橋@10/15-10/17,,,21,0,🥺,5.4,
012128,山根 泰道,A2,81.23,武雄@10/17-10/19;弥彦@10/30-11/01,,,21,0,🥺,5.6,
012130,石田 洋秀,A1,81.80,防府@09/29-10/01;四日市@10/16-10/18;久留米@10/27-10/29,,,15,0,,3.6,
012132,甲斐下 智,A2,78.00,大宮@10/06-10/08;別府@10/14-10/16,,,26,0,🥺,6.0,
012157,竹野 行登,A3,69.00,奈良@09/30-10/02;青森@10/14-10/16;前橋@10/21-10/23,,,25,1,🥺,4.6,
012164,堀 政美,A2,82.75,前橋@10/13-10/15;小田原@10/20-10/22,,,24,0,,4.4,
012193,井手 尚治,A2,81.27,静岡@10/15-10/17;宇都宮@10/30-11/01,,,18,0,🥺,5.2,
012197,奥山 雅士,A3,66.10,前橋@09/30-10/02;青森@10/19-10/21;名古屋@10/30-11/01,川崎,川崎Ｆ２@09/24/4R;川崎Ｆ２@09/25/4R;川崎Ｆ２@09/26/3R,10,0,🥺,5.2,
012202,望月 裕一郎,,,,,,19,0,,4.2,
012206,白井 一機,A3,67.72,奈良@09/30-10/02;富山@10/17-10/19;久留米@10/27-10/29,,,18,0,,4.4,
012208,鰐渕 正利,A3,73.29,久留米@10/01-10/03;岐阜@10/10-10/12,,,17,0,,3.8,
012216,武田 哲二,A2,79.92,奈良@10/05-10/07;小田原@10/20-10/22,,,25,0,🥺,5.2,
012234,室井 竜二,A1,88.05,佐世保@10/18-10/20;弥彦@10/30-11/01,,,17,0,🚀,3.0,
012242,穴井 利久,A2,76.95,久留米@10/01-10/03;奈良@10/09-10/11,,,18,0,🥺,6.4,
012248,中井 大介,A3,76.85,久留米@10/01-10/03,別府,別府Ｆ２@09/24/2R;別府Ｆ２@09/25/3R;別府Ｆ２@09/26/3R,21,0,🚀,2.6,
012261,岡部 芳幸,A1,87.15,高知@10/17-10/19;川崎@10/24-10/26,,,19,0,🚀,2.6,
012277,井上 典善,A3,64.09,静岡@10/07-10/09;松戸@10/30-11/01,奈良,奈良Ｆ２@09/24/2R;奈良Ｆ２@09/25/2R;奈良Ｆ２@09/26/2R,21,0,🥺,6.0,
012283,富永 益生,A1,87.93,熊本@10/12-10/14;西武園@10/30-11/01,,,15,0,🚀,3.0,
012287,西川 弘資,A3,71.44,取手@10/19-10/21;宇都宮@10/30-11/01,奈良,奈良Ｆ２@09/24/1R;奈良Ｆ２@09/25/3R;奈良Ｆ２@09/26/1R,18,0,🚀,3.0,
012290,小西 芳樹,A3,65.46,奈良@09/30-10/02;大宮@10/12-10/14;久留米@10/27-10/29,,,15,0,🥺,4.8,
012298,星島 太,A2,78.80,防府@10/04-10/06;四日市@10/16-10/18,,,21,0,🥺,5.4,
012299,増成 富夫,A3,68.30,前橋@09/30-10/02;高知@10/07-10/09;武雄@10/27-10/29,,,23,0,,3.4,
012307,尾崎 勝弘,A3,69.43,奈良@10/09-10/11;久留米@10/27-10/29,別府,別府Ｆ２@09/24/2R;別府Ｆ２@09/25/1R;別府Ｆ２@09/26/1R,16,0,🥺,5.2,
012319,高尾 剛文,A3,69.17,武雄@10/09-10/11;前橋@10/21-10/23;名古屋@10/30-11/01,奈良,奈良Ｆ２@09/24/1R,23,0,,4.0,
012321,檀 雄二,A3,70.21,松戸@10/03-10/05;青森@10/19-10/21,,,19,0,🥺,4.6,
012326,國武 耕二,A2,86.72,防府@09/29-10/01;奈良@10/09-10/11;武雄@10/17-10/19;名古屋@10/24-10/26,,,18,0,,3.8,
012329,松尾 正人,A3,67.31,奈良@09/30-10/02;松戸@10/30-11/01,,,16,1,🥺,5.6,
012336,高谷 雅彦,A2,85.61,武雄@09/27-09/29;いわき平@10/12-10/14;青森@10/29-10/31,,,18,1,,3.4,
012340,金古 将人,A2,,,,,0,0,,,
012348,飯田 威文,A3,69.52,奈良@09/30-10/02;いわき平@10/21-10/23;名古屋@10/30-11/01,,,25,1,🥺,4.6,
012379,小林 健,A2,82.08,平塚@09/28-09/30;熊本@10/12-10/14;奈良@10/23-10/25,,,25,0,,4.4,
012380,近藤 修康,A1,87.66,川崎@10/01-10/03;武雄@10/17-10/19,,,18,0,,3.6,
012383,田村 光昭,A3,70.11,岐阜@10/10-10/12;防府@10/23-10/25;名古屋@10/30-11/01,別府,別府Ｆ２@09/24/1R;別府Ｆ２@09/25/2R,18,0,,4.2,
012389,岡崎 昭次,A3,75.00,防府@10/23-10/25;名古屋@10/30-11/01,弥彦,弥彦Ｆ２@09/24/6R;弥彦Ｆ２@09/25/6R;弥彦Ｆ２@09/26/5R,15,1,,3.4,
012402,時松 正,A3,69.16,平塚@10/03-10/05;四日市@10/16-10/18,,,12,0,🥺,5.2,
012406,濱田 昭一郎,A3,67.34,奈良@10/09-10/11;四日市@10/16-10/18;武雄@10/27-10/29,川崎,川崎Ｆ２@09/24/6R;川崎Ｆ２@09/25/4R;川崎Ｆ２@09/26/1R,26,0,🥺,5.0,
012416,櫻井 紀幸,A3,71.60,宇都宮@10/30-11/01,川崎,川崎Ｆ２@09/24/4R;川崎Ｆ２@09/25/2R,15,0,🚀,3.0,
012417,須藤 直道,A1,82.53,静岡@10/07-10/09;大垣@10/22-10/24,熊本,熊本Ｆ２@09/24/1R;熊本Ｆ２@09/25/4R;熊本Ｆ２@09/26/2R,26,0,,4.0,
012421,小沼 良,A1,,広島@09/28-09/30;四日市@10/07-10/09;川崎@10/24-10/26,,,0,0,,,
012431,會田 正一,A3,71.60,取手@10/19-10/21;松戸@10/30-11/01,,,10,0,,4.2,
012432,石井 孝,A3,71.16,平塚@10/03-10/05;和歌山@10/26-10/28,,,24,0,,4.4,
012439,河合 康晴,A3,71.71,川崎@10/09-10/11;和歌山@10/26-10/28,,,14,0,,3.8,
012452,伊藤 健詞,A2,86.42,防府@09/29-10/01;豊橋@10/15-10/17;別府@10/28-10/30,,,19,1,🚀,3.0,
012466,郡 英治,A2,80.94,広島@10/18-10/20;青森@10/29-10/31,,,19,0,🥺,4.6,
012473,清水 邦章,A2,79.52,大宮@10/01-10/03;小倉@10/11-10/13,,,21,0,🥺,5.4,
012474,小川 圭二,A1,84.47,佐世保@09/30-10/02;青森@10/29-10/31,,,21,0,,4.2,
012479,田中 弘章,A3,74.09,青森@10/14-10/16;松戸@10/30-11/01,奈良,奈良Ｆ２@09/24/6R;奈良Ｆ２@09/25/6R;奈良Ｆ２@09/26/6R,21,0,🚀,2.8,
012496,中村 淳,A3,69.00,,川崎,川崎Ｆ２@09/24/3R;川崎Ｆ２@09/25/7R;川崎Ｆ２@09/26/6R,3,0,,4.2,
012501,金子 真也,A1,88.83,前橋@10/06-10/08;高知@10/17-10/19,,,12,0,🥺,4.6,
012507,爲田 学,A3,69.79,高知@10/07-10/09;武雄@10/27-10/29,,,24,0,,4.2,
012509,岡嵜 浩一,A3,67.70,平塚@09/28-09/30;高知@10/07-10/09;前橋@10/21-10/23,,,10,1,,,
012512,眞原 健一,A3,68.33,前橋@10/13-10/15;いわき平@10/21-10/23;松戸@10/30-11/01,,,21,0,,3.8,
012519,藤原 誠,A1,91.30,静岡@10/07-10/09;佐世保@10/18-10/20;京王閣@10/26-10/28,熊本,熊本Ｆ２@09/24/7R;熊本Ｆ２@09/25/6R;熊本Ｆ２@09/26/7R,20,1,,3.6,
012529,木本 賢二,A3,70.55,静岡@10/07-10/09;名古屋@10/24-10/26,,,27,0,🥺,4.8,
012530,池上 孝之,A3,68.55,奈良@10/09-10/11;四日市@10/16-10/18;久留米@10/27-10/29,,,20,1,🥺,4.6,
012532,西郷 剛,A2,80.40,大垣@10/06-10/08;広島@10/18-10/20,,,22,0,🥺,5.0,
012537,取鳥 敬一,A3,66.88,青森@10/19-10/21;松戸@10/30-11/01,川崎,川崎Ｆ２@09/24/2R;川崎Ｆ２@09/25/4R;川崎Ｆ２@09/26/1R,18,0,🥺,5.6,
012544,上田 学,A1,84.66,防府@09/29-10/01;小倉@10/11-10/13;広島@10/18-10/20;岐阜@10/28-10/30,,,21,0,🥺,5.2,
012546,神開 将暢,A2,88.21,小松島@10/03-10/05;玉野@10/13-10/15,岸和,岸和Ｆ１@09/26/3R,19,0,,4.0,
012547,横瀬 聡,A3,68.19,平塚@09/28-09/30;岐阜@10/10-10/12;青森@10/19-10/21;久留米@10/27-10/29,,,21,0,🥺,5.2,
012550,荒木 真慈,A3,70.50,松戸@10/03-10/05;久留米@10/27-10/29,奈良,奈良Ｆ２@09/24/7R;奈良Ｆ２@09/25/3R;奈良Ｆ２@09/26/2R,24,0,,3.4,
012556,落合 豊,A3,63.83,大宮@10/12-10/14;武雄@10/27-10/29,,,12,0,🥺,6.2,
012559,相良 勝美,A3,68.00,前橋@10/13-10/15;川崎@10/20-10/22,,,18,1,🥺,5.4,
012586,佐藤 和典,A3,77.16,奈良@09/30-10/02;高知@10/07-10/09;名古屋@10/30-11/01,,,24,0,,3.4,
012590,山崎 敦雄,A1,87.00,小倉@10/11-10/13;川崎@10/24-10/26,,,22,0,,4.4,
012593,山田 圭二,A3,71.87,大宮@10/12-10/14;和歌山@10/26-10/28,別府,別府Ｆ２@09/24/4R;別府Ｆ２@09/25/4R;別府Ｆ２@09/26/9R,24,0,,4.0,
012597,塚本 貴雄,A3,69.35,武雄@10/09-10/11;大宮@10/22-10/24;名古屋@10/30-11/01,弥彦,弥彦Ｆ２@09/24/4R;弥彦Ｆ２@09/25/4R;弥彦Ｆ２@09/26/4R,20,0,🚀,2.8,
012598,大庭 正紀,A1,85.47,久留米@10/01-10/03;佐世保@10/18-10/20;宇都宮@10/30-11/01,別府,別府Ｆ２@09/24/8R;別府Ｆ２@09/25/8R;別府Ｆ２@09/26/5R,17,0,,4.2,
012602,吉村 文隆,A2,78.41,大宮@10/06-10/08;大垣@10/22-10/24,別府,別府Ｆ２@09/24/10R;別府Ｆ２@09/25/7R;別府Ｆ２@09/26/6R,12,0,🥺,5.2,
012603,大川 栄二,A2,82.33,広島@09/28-09/30;奈良@10/05-10/07;豊橋@10/15-10/17;小田原@10/26-10/28,,,18,0,,3.2,
012618,武智 尚之,A3,67.05,久留米@10/01-10/03;武雄@10/27-10/29,,,18,0,,4.4,
012626,原 司,A3,67.84,平塚@10/03-10/05;青森@10/14-10/16,別府,別府Ｆ２@09/24/1R;別府Ｆ２@09/25/1R,25,0,,4.2,
012628,阪本 正和,A2,78.16,玉野@09/27-09/29;高知@10/17-10/19;名古屋@10/24-10/26,,,18,0,🥺,5.6,
012634,大薗 宏,A3,74.50,松戸@10/03-10/05;大宮@10/12-10/14,弥彦,弥彦Ｆ２@09/24/3R;弥彦Ｆ２@09/25/7R;弥彦Ｆ２@09/26/4R,24,0,🚀,2.8,
012640,北村 貴幸,A2,82.83,川崎@10/01-10/03;小田原@10/26-10/28,,,12,0,🥺,4.8,
012646,大澤 裕之,A2,79.80,前橋@10/13-10/15;川崎@10/24-10/26,,,21,0,🥺,5.8,
012649,山本 恵太郎,A3,76.91,前橋@09/30-10/02;川崎@10/09-10/11,,,24,0,🚀,2.0,
012656,柴田 健,A3,71.00,いわき平@10/21-10/23;宇都宮@10/30-11/01,奈良,奈良Ｆ２@09/24/6R;奈良Ｆ２@09/25/5R;奈良Ｆ２@09/26/4R,23,0,,4.2,
012671,滝川 秀嗣,A3,67.68,久留米@10/01-10/03;武雄@10/09-10/11;宇都宮@10/30-11/01,弥彦,弥彦Ｆ２@09/24/5R;弥彦Ｆ２@09/25/3R;弥彦Ｆ２@09/26/5R,19,1,,3.8,
012677,花村 直人,A3,70.20,大垣@10/06-10/08;いわき平@10/21-10/23;宇都宮@10/30-11/01,,,15,0,🥺,5.2,
012678,舛井 幹雄,A1,84.52,広島@10/18-10/20;別府@10/28-10/30,,,21,0,🥺,4.8,
012679,坂上 忠克,A1,86.90,防府@10/04-10/06;佐世保@10/18-10/20;弥彦@10/30-11/01,,,21,0,,3.8,
012681,辻 力,A2,80.16,久留米@10/01-10/03;岐阜@10/10-10/12;宇都宮@10/30-11/01,,,24,0,,4.4,
012684,四宮 哲郎,A1,82.14,富山@10/10-10/12;奈良@10/23-10/25,,,21,0,,4.2,
012689,前田 拓也,A2,87.11,熊本@10/12-10/14;取手@10/19-10/21,,,9,1,,3.2,
012694,志村 達也,A3,67.25,名古屋@10/24-10/26,,,20,1,🥺,5.0,
012705,那須 久幸,A1,91.47,防府@10/04-10/06;四日市@10/16-10/18;名古屋@10/24-10/26,,,21,0,🚀,2.6,
012708,野木 義規,A2,82.16,奈良@10/05-10/07;いわき平@10/12-10/14;大垣@10/22-10/24,,,18,0,,4.4,
012710,大内 達也,A3,77.28,青森@10/19-10/21;武雄@10/27-10/29,,,14,0,🚀,1.8,
012717,伊藤 一貴,A2,79.66,前橋@10/06-10/08;川崎@10/20-10/22,岸和,岸和Ｆ１@09/26/2R,21,0,🥺,5.2,
012718,大橋 徹,A1,85.25,川崎@10/09-10/11;小田原@10/26-10/28,,,24,0,,3.2,
012719,篠崎 高志,A2,78.33,いわき平@10/04-10/06;玉野@10/13-10/15;武雄@10/27-10/29,,,21,0,🥺,4.8,
012721,梅山 英樹,A1,87.26,いわき平@09/27-09/29;四日市@10/07-10/09;別府@10/14-10/16;川崎@10/24-10/26,,,15,0,,3.4,
012725,浦山 一栄,A3,71.47,平塚@09/28-09/30;富山@10/17-10/19;和歌山@10/26-10/28,,,21,0,,3.4,
012728,飯田 辰哉,A1,91.33,小松島@10/03-10/05;取手@10/19-10/21;小田原@10/26-10/28,,,24,0,🚀,2.4,
012738,渡邊 一洋,A2,82.66,奈良@10/14-10/16;川崎@10/24-10/26,,,21,0,,4.0,
012742,山田 雅之,A2,84.11,久留米@10/01-10/03;富山@10/17-10/19,,,18,0,,4.0,
012747,布居 寛幸,A1,85.88,大宮@10/01-10/03;小倉@10/11-10/13;小田原@10/20-10/22,,,18,0,,3.6,
012753,柳澤 達也,A3,68.33,奈良@09/30-10/02;取手@10/19-10/21;久留米@10/27-10/29,,,15,0,,4.2,
012754,小野 祐作,A3,66.92,久留米@10/01-10/03;川崎@10/20-10/22,弥彦,弥彦Ｆ２@09/24/7R;弥彦Ｆ２@09/25/1R;弥彦Ｆ２@09/26/5R,14,0,🥺,5.0,
012757,市本 隆司,A2,87.70,高知@10/17-10/19;大垣@10/27-10/29,岸和,岸和Ｆ１@09/26/3R,17,1,🥺,4.8,
012759,金山 栄治,A1,91.38,いわき平@10/04-10/06;高知@10/17-10/19;名古屋@10/24-10/26,岸和,岸和Ｆ１@09/26/5R,18,0,,4.0,
012760,櫻井 宏智,A2,86.94,広島@09/28-09/30;奈良@10/09-10/11;武雄@10/17-10/19,,,18,0,🚀,3.0,
012763,内村 泰三,A2,86.55,武雄@10/03-10/05;豊橋@10/15-10/17;京王閣@10/26-10/28,熊本,熊本Ｆ２@09/24/6R;熊本Ｆ２@09/25/3R;熊本Ｆ２@09/26/3R,18,0,,4.0,
012766,立石 拓也,A1,84.73,玉野@09/27-09/29;岐阜@10/10-10/12;久留米@10/27-10/29,,,15,0,,,
012779,田川 辰二,A2,80.61,武雄@10/03-10/05;佐世保@10/18-10/20;岐阜@10/28-10/30,,,13,1,🥺,5.4,
012783,平澤 秀信,A3,69.73,前橋@10/13-10/15;大宮@10/22-10/24,,,15,1,,3.6,
012785,小橋 明紀,A1,94.15,大宮@10/01-10/03;川崎@10/09-10/11;小田原@10/20-10/22,,,13,0,🚀,2.8,
012794,宇賀神 浩幸,A2,81.43,大宮@10/06-10/08;取手@10/19-10/21;岐阜@10/28-10/30,,,23,0,🥺,5.6,
012795,黒田 充,A3,72.05,奈良@09/30-10/02;大宮@10/12-10/14;防府@10/23-10/25,,,17,0,,3.6,
012800,豊田 一馬,A2,82.11,大宮@10/06-10/08;青森@10/24-10/26,,,18,0,,4.0,
012809,高峰 賢治,A2,86.61,平塚@09/28-09/30;川崎@10/09-10/11;青森@10/24-10/26,,,18,0,,4.4,
012811,江守 昇,A1,90.47,小松島@10/03-10/05;大宮@10/22-10/24,,,21,0,🚀,3.0,
012819,齊藤 竜也,A1,92.08,いわき平@10/12-10/14;川崎@10/20-10/22,,,12,0,,3.2,
012823,遠藤 勝行,A2,83.27,小松島@10/03-10/05;奈良@10/14-10/16;大宮@10/22-10/24,,,18,0,,4.2,
012826,渡邉 晴智,A1,93.00,四日市@10/21-10/23;宇都宮@10/30-11/01,青森,青森Ｆ２@09/26/7R,1,0,,,
012827,光岡 義洋,A3,71.50,大宮@10/12-10/14;いわき平@10/21-10/23;名古屋@10/30-11/01,,,22,0,🥺,4.8,
012829,西浦 仙哉,A1,92.22,久留米@10/01-10/03;広島@10/18-10/20;大垣@10/27-10/29,,,18,0,🚀,3.0,
012832,仙石 淳,A3,71.77,久留米@10/01-10/03;武雄@10/09-10/11,,,18,0,,3.8,
012838,三木 健治,A2,81.13,別府@10/28-10/30,,,15,0,,,
012844,米澤 大輔,A2,76.33,小松島@10/03-10/05;豊橋@10/15-10/17,,,6,0,🥺,6.2,
012845,林 成人,A2,81.85,平塚@09/28-09/30;小倉@10/11-10/13;奈良@10/23-10/25,,,21,0,,3.6,
012847,古閑 良介,A3,68.66,奈良@10/09-10/11;名古屋@10/24-10/26,,,18,1,,3.6,
012850,渡邉 満,A2,78.23,武雄@10/03-10/05;豊橋@10/15-10/17,,,21,0,🥺,5.8,
012858,亀井 宏佳,A3,68.08,いわき平@10/04-10/06;前橋@10/21-10/23,,,24,0,,4.2,
012861,小坂 敏之,A2,81.16,大宮@10/01-10/03;川崎@10/24-10/26,,,24,0,🥺,5.0,
012875,中曽 直彦,A2,80.54,前橋@10/06-10/08;川崎@10/24-10/26,青森,青森Ｆ２@09/26/3R,11,1,,3.8,
012876,湯浅 弘光,A3,71.66,前橋@10/13-10/15;防府@10/23-10/25,,,21,0,,4.0,
012878,安藤 宜明,A3,73.60,静岡@10/07-10/09;取手@10/19-10/21;松戸@10/30-11/01,,,20,0,,4.4,
012879,石井 毅,A2,81.42,いわき平@09/27-09/29;大宮@10/22-10/24;青森@10/29-10/31,,,21,0,🥺,6.0,
012882,鈴木 愼二,A2,81.30,広島@09/28-09/30;平塚@10/08-10/10;青森@10/24-10/26,,,20,0,🥺,5.0,
012883,大沼 孝行,A3,68.57,高知@10/07-10/09;取手@10/19-10/21,,,21,0,🥺,5.2,
012885,田中 智也,A3,68.52,静岡@10/07-10/09;大宮@10/22-10/24,,,17,0,🥺,5.0,
012886,中井 達郎,A1,89.63,平塚@09/28-09/30;大宮@10/06-10/08;玉野@10/13-10/15;川崎@10/24-10/26,,,11,0,🥺,4.6,
012891,朝日 勇,A2,80.95,防府@09/29-10/01;大垣@10/06-10/08;玉野@10/13-10/15,,,21,0,,4.0,
012893,吉野 猛,A3,71.33,前橋@09/30-10/02;静岡@10/07-10/09,,,27,0,,3.2,
012895,小嶋 敬二,A1,92.16,広島@09/28-09/30;高知@10/17-10/19;大垣@10/27-10/29,,,18,0,,4.2,
012899,中井 護,A2,,,,,0,0,,,
012906,太田 良政,A3,65.13,武雄@10/09-10/11;前橋@10/21-10/23,,,15,0,🥺,5.6,
012910,塩川 真一郎,A3,74.88,松戸@10/03-10/05;川崎@10/20-10/22;武雄@10/27-10/29,,,18,0,,3.6,
012913,増田 鉄男,A3,64.72,平塚@09/28-09/30;岐阜@10/10-10/12;名古屋@10/24-10/26,,,11,0,🥺,5.8,
012914,武市 和人,A2,76.34,川崎@10/01-10/03;佐世保@10/18-10/20;別府@10/28-10/30,,,26,0,🥺,5.4,
012920,山崎 岳志,A2,85.50,防府@10/04-10/06;豊橋@10/15-10/17;奈良@10/23-10/25,,,18,0,,4.0,
012924,太田黒 大心,A2,86.41,防府@09/29-10/01;玉野@10/13-10/15;大垣@10/27-10/29,,,12,0,,3.8,
012930,浦崎 貴史,A3,69.88,前橋@09/30-10/02;青森@10/14-10/16,,,18,0,,4.2,
012934,煤賀 隆幸,A3,67.84,平塚@09/28-09/30;川崎@10/09-10/11;宇都宮@10/30-11/01,,,13,1,🥺,4.6,
012937,十文字 菊雄,A1,82.72,武雄@10/03-10/05;青森@10/24-10/26,,,18,0,,4.0,
012938,鈴木 規純,A3,69.71,奈良@09/30-10/02;川崎@10/09-10/11;前橋@10/21-10/23,,,21,0,,4.2,
012940,小室 貴広,A2,80.96,青森@09/30-10/02;小倉@10/11-10/13,,,25,0,🥺,4.8,
012944,渡邊 恭典,A2,79.91,武雄@09/27-09/29;静岡@10/07-10/09;別府@10/14-10/16;大垣@10/22-10/24,,,12,0,🥺,5.0,
