reg_no,name,grade,score,entries,racing_now,retired
012336,高谷 雅彦,A2,84.11,四日市@08/17-08/19;高知@08/25-08/27;青森@09/14-09/16;武雄@09/27-09/29,,
012340,金古 将人,A2,,,,
012348,飯田 威文,A3,69.41,青森@08/24-08/26;松戸@09/01-09/03;弥彦@09/07-09/09;大垣@09/22-09/24,西武,
012379,小林 健,A2,82.00,豊橋@09/04-09/06;松山@09/19-09/21;平塚@09/28-09/30,京王,
012380,近藤 修康,A1,87.66,川崎@08/19-08/21;松山@08/31-09/02;立川@09/22-09/24,,
012383,田村 光昭,A3,70.55,青森@08/24-08/26;伊東@09/02-09/04;京王閣@09/08-09/10;別府@09/24-09/26,,
012389,岡崎 昭次,A3,75.33,別府@08/16-08/18;宇都宮@08/24-08/26;松山@09/12-09/14;弥彦@09/24-09/26,,
012402,時松 正,A3,75.33,別府@08/16-08/18;静岡@08/30-09/01;京王閣@09/08-09/10;武雄@09/16-09/18,,
012406,濱田 昭一郎,A3,68.00,青森@08/24-08/26;静岡@08/30-09/01;小松島@09/17-09/19;川崎@09/24-09/26,,
012416,櫻井 紀幸,A3,70.66,立川@08/22-08/24;松戸@09/01-09/03;川崎@09/24-09/26,,
012417,須藤 直道,A1,82.64,伊東@08/16-08/18;小松島@08/27-08/29;前橋@09/11-09/13;熊本@09/24-09/26,,
012421,小沼 良,A1,,武雄@08/21-08/23;川崎@08/30-09/01;大宮@09/13-09/15;広島@09/28-09/30,,
012431,會田 正一,A3,74.00,豊橋@08/18-08/20;静岡@08/30-09/01;武雄@09/09-09/11;川崎@09/24-09/26,,
012432,石井 孝,A3,71.16,伊東@08/16-08/18;西武園@08/31-09/02;富山@09/10-09/12;大宮@09/21-09/23,,
012439,河合 康晴,A3,71.00,青森@08/24-08/26;豊橋@09/11-09/13;大宮@09/21-09/23,,
012452,伊藤 健詞,A2,86.50,和歌山@08/23-08/25;岐阜@08/30-09/01;久留米@09/17-09/19;防府@09/29-10/01,,
012466,郡 英治,A2,81.16,防府@08/23-08/25;松山@08/31-09/02;伊東@09/23-09/25,奈良,
012473,清水 邦章,A2,80.33,川崎@08/19-08/21;久留米@09/05-09/07;岐阜@09/13-09/15,武雄,
012474,小川 圭二,A1,82.58,高知@08/25-08/27;玉野@09/02-09/04;四日市@09/09-09/11,,
012479,田中 弘章,A3,73.00,玉野@08/20-08/22;伊東@09/02-09/04;武雄@09/09-09/11;奈良@09/24-09/26,,
012496,中村 淳,A3,,立川@08/22-08/24;いわき平@08/30-09/01;武雄@09/16-09/18;川崎@09/24-09/26,,
012501,金子 真也,A1,92.33,静岡@08/15-08/17;和歌山@08/23-08/25;松阪@08/31-09/02;弥彦@09/07-09/09,,
012507,爲田 学,A3,70.33,玉野@08/20-08/22;久留米@09/05-09/07;松山@09/12-09/14;広島@09/20-09/22,,
012509,岡嵜 浩一,A3,66.75,立川@08/17-08/19;熊本@08/24-08/26;静岡@08/30-09/01;豊橋@09/11-09/13;平塚@09/28-09/30,,
012512,眞原 健一,A3,66.11,伊東@08/16-08/18;いわき平@08/30-09/01;富山@09/10-09/12;大宮@09/21-09/23,,
012519,藤原 誠,A1,89.36,大垣@08/21-08/23;小倉@08/28-08/30;久留米@09/05-09/07;熊本@09/24-09/26,,
012529,木本 賢二,A3,70.58,豊橋@08/18-08/20;宇都宮@08/24-08/26;弥彦@09/02-09/04;松山@09/12-09/14;広島@09/20-09/22,,
012530,池上 孝之,A3,68.00,宇都宮@08/24-08/26;西武園@09/06-09/08;武雄@09/16-09/18,,
012532,西郷 剛,A2,80.66,静岡@08/15-08/17;松阪@08/25-08/27;立川@09/03-09/05;高知@09/20-09/22,,
012537,取鳥 敬一,A3,66.88,豊橋@08/18-08/20;いわき平@08/30-09/01;武雄@09/09-09/11;川崎@09/24-09/26,,
012544,上田 学,A1,84.25,四日市@08/17-08/19;小松島@08/27-08/29;立川@09/22-09/24;防府@09/29-10/01,,
012546,神開 将暢,A2,89.26,岐阜@08/24-08/26;高知@09/09-09/11;岸和田@09/26-09/28,,
012547,横瀬 聡,A3,67.77,奈良@08/20-08/22;伊東@08/27-08/29;松山@09/19-09/21;平塚@09/28-09/30,,
012550,荒木 真慈,A3,70.41,別府@08/16-08/18;青森@08/24-08/26;弥彦@09/02-09/04;大垣@09/13-09/15;奈良@09/24-09/26,,
012556,落合 豊,A3,,豊橋@08/18-08/20;松戸@09/01-09/03;京王閣@09/08-09/10;大垣@09/22-09/24,,
012559,相良 勝美,A3,70.30,伊東@08/27-08/29;松阪@09/05-09/07;岸和田@09/14-09/16;大宮@09/21-09/23,,
012586,佐藤 和典,A3,77.83,伊東@08/27-08/29;川崎@09/10-09/12;大垣@09/22-09/24,,
012590,山崎 敦雄,A1,87.66,西武園@08/21-08/23;和歌山@08/30-09/01;富山@09/10-09/12;立川@09/22-09/24,,
012593,山田 圭二,A3,70.41,和歌山@08/23-08/25;久留米@09/05-09/07;大垣@09/13-09/15;別府@09/24-09/26,,
012597,塚本 貴雄,A3,67.36,熊本@08/24-08/26;西武園@08/31-09/02;弥彦@09/24-09/26,,
012598,大庭 正紀,A1,85.26,松戸@09/01-09/03;別府@09/24-09/26,,
012602,吉村 文隆,A2,78.44,奈良@08/20-08/22;久留米@09/05-09/07;別府@09/24-09/26,,
012603,大川 栄二,A2,79.66,高知@08/18-08/20;和歌山@08/30-09/01;久留米@09/17-09/19;広島@09/28-09/30,,
012618,武智 尚之,A3,66.75,伊東@09/02-09/04;大垣@09/13-09/15;弥彦@09/24-09/26,,
012626,原 司,A3,67.16,松阪@08/25-08/27;弥彦@09/02-09/04;松山@09/19-09/21,,
012628,阪本 正和,A2,80.16,高知@08/25-08/27;川崎@09/10-09/12;松山@09/19-09/21;玉野@09/27-09/29,岐阜,
012634,大薗 宏,A3,74.16,立川@08/17-08/19;伊東@08/27-08/29;西武園@09/06-09/08;弥彦@09/24-09/26,,
012640,北村 貴幸,A2,83.00,弥彦@08/18-08/20;岸和田@08/27-08/29;松阪@09/05-09/07;立川@09/16-09/18,,
012646,大澤 裕之,A2,79.83,弥彦@08/18-08/20;小松島@08/27-08/29;富山@09/03-09/05;大宮@09/13-09/15,,
012649,山本 恵太郎,A3,75.33,豊橋@08/18-08/20;いわき平@08/30-09/01;武雄@09/09-09/11;広島@09/20-09/22,,
012656,柴田 健,A3,70.88,静岡@08/30-09/01;弥彦@09/07-09/09;岸和田@09/14-09/16;奈良@09/24-09/26,,
012671,滝川 秀嗣,A3,66.50,玉野@08/20-08/22;伊東@08/27-08/29;豊橋@09/11-09/13;弥彦@09/24-09/26,,
012677,花村 直人,A3,72.22,松阪@08/25-08/27;西武園@09/06-09/08;小松島@09/17-09/19,,
012678,舛井 幹雄,A1,84.41,松阪@08/25-08/27;西武園@09/06-09/08;弥彦@09/19-09/21,,
012679,坂上 忠克,A1,85.44,奈良@08/20-08/22;久留米@09/05-09/07;別府@09/16-09/18,,
012681,辻 力,A2,78.41,西武園@08/21-08/23;豊橋@09/11-09/13;伊東@09/23-09/25,,
012684,四宮 哲郎,A1,82.66,岐阜@08/30-09/01;防府@09/15-09/17;大垣@09/22-09/24,,
012689,前田 拓也,A2,86.16,玉野@08/20-08/22;四日市@08/29-08/31;豊橋@09/11-09/13;佐世保@09/20-09/22,,
012694,志村 達也,A3,67.66,奈良@08/20-08/22;いわき平@08/30-09/01;武雄@09/09-09/11;平塚@09/28-09/30,,
012705,那須 久幸,A1,91.33,松阪@08/25-08/27;立川@09/03-09/05;佐世保@09/20-09/22,京王,
012708,野木 義規,A2,82.00,松戸@09/01-09/03;青森@09/14-09/16,京王,
012710,大内 達也,A3,76.00,和歌山@08/23-08/25;松阪@09/05-09/07;大宮@09/21-09/23,,
012717,伊藤 一貴,A2,81.44,高知@08/18-08/20;和歌山@08/30-09/01;いわき平@09/15-09/17;岸和田@09/26-09/28,,
012718,大橋 徹,A1,84.41,大垣@08/21-08/23;松山@08/31-09/02;高知@09/09-09/11;伊東@09/23-09/25,,
012719,篠崎 高志,A2,78.22,大垣@08/21-08/23;西武園@08/31-09/02;前橋@09/11-09/13,京王,
012721,梅山 英樹,A1,86.00,前橋@08/15-08/17;岸和田@08/27-08/29;富山@09/10-09/12;いわき平@09/27-09/29,,
012725,浦山 一栄,A3,69.22,松阪@09/05-09/07;岸和田@09/14-09/16;平塚@09/28-09/30,西武,
012728,飯田 辰哉,A1,90.83,伊東@08/16-08/18;岸和田@08/27-08/29;松阪@09/05-09/07;大宮@09/13-09/15,,
012738,渡邊 一洋,A2,85.50,富山@08/20-08/22;岸和田@08/27-08/29;弥彦@09/07-09/09;立川@09/16-09/18,青森,
012742,山田 雅之,A2,85.33,富山@08/20-08/22;四日市@08/29-08/31;松阪@09/05-09/07;岸和田@09/14-09/16,,
012747,布居 寛幸,A1,84.66,玉野@08/20-08/22;和歌山@08/30-09/01;四日市@09/09-09/11;立川@09/22-09/24,,
012753,柳澤 達也,A3,70.14,和歌山@08/23-08/25;弥彦@09/02-09/04;武雄@09/16-09/18,,
012754,小野 祐作,A3,67.37,玉野@08/20-08/22;伊東@08/27-08/29;武雄@09/16-09/18;弥彦@09/24-09/26,,
012757,市本 隆司,A2,89.77,佐世保@08/18-08/20;川崎@08/30-09/01;いわき平@09/07-09/09;別府@09/16-09/18;岸和田@09/26-09/28,,
012759,金山 栄治,A1,90.55,玉野@08/20-08/22;松山@08/31-09/02;大垣@09/07-09/09;岸和田@09/26-09/28,,
012760,櫻井 宏智,A2,85.33,玉野@08/20-08/22;防府@09/04-09/06;広島@09/28-09/30,,
012763,内村 泰三,A2,86.58,小松島@08/27-08/29;玉野@09/08-09/10;熊本@09/24-09/26,,
012766,立石 拓也,A1,86.33,武雄@08/21-08/23;松山@09/19-09/21;玉野@09/27-09/29,,
012779,田川 辰二,A2,81.88,富山@08/20-08/22;川崎@09/10-09/12;久留米@09/17-09/19,武雄,
012783,平澤 秀信,A3,67.66,いわき平@08/30-09/01;川崎@09/10-09/12;広島@09/20-09/22,西武,
012785,小橋 明紀,A1,93.66,松戸@09/01-09/03;四日市@09/09-09/11,青森,
012794,宇賀神 浩幸,A2,80.83,佐世保@08/18-08/20;伊東@09/07-09/09;川崎@09/17-09/19,,
012795,黒田 充,A3,71.44,熊本@08/24-08/26;弥彦@09/02-09/04;立川@09/16-09/18,,
012800,豊田 一馬,A2,80.83,前橋@08/15-08/17;伊東@09/07-09/09;大垣@09/22-09/24,,
012809,高峰 賢治,A2,87.25,大垣@08/21-08/23;四日市@08/29-08/31;西武園@09/06-09/08;平塚@09/28-09/30,,
012811,江守 昇,A1,89.77,伊東@08/16-08/18;奈良@08/26-08/28;立川@09/03-09/05;川崎@09/17-09/19,,
012819,齊藤 竜也,A1,91.77,立川@08/17-08/19;岸和田@08/27-08/29;松阪@09/05-09/07;弥彦@09/19-09/21,,
012823,遠藤 勝行,A2,84.16,大垣@08/21-08/23;川崎@08/30-09/01;富山@09/10-09/12;伊東@09/23-09/25,,
012826,渡邉 晴智,A1,93.00,富山@09/10-09/12;青森@09/26-09/28,,
012827,光岡 義洋,A3,71.06,静岡@08/30-09/01;武雄@09/09-09/11;大垣@09/22-09/24,,
012829,西浦 仙哉,A1,92.44,玉野@08/26-08/28;四日市@09/09-09/11;別府@09/16-09/18,,
012832,仙石 淳,A3,73.22,玉野@08/20-08/22;武雄@09/09-09/11;松山@09/19-09/21,,
012838,三木 健治,A2,80.44,松山@08/21-08/23;防府@09/04-09/06;佐世保@09/20-09/22,武雄,
012844,米澤 大輔,A2,,久留米@09/05-09/07;弥彦@09/19-09/21,,
012845,林 成人,A2,79.66,高知@08/25-08/27;松山@09/19-09/21;平塚@09/28-09/30,,
012847,古閑 良介,A3,66.00,松山@08/21-08/23;いわき平@08/30-09/01;大垣@09/13-09/15;広島@09/20-09/22,,
012850,渡邉 満,A2,78.44,奈良@08/20-08/22;別府@09/16-09/18;伊東@09/23-09/25,岐阜,
012858,亀井 宏佳,A3,68.33,伊東@08/16-08/18;立川@08/22-08/24;弥彦@09/02-09/04;武雄@09/09-09/11;広島@09/20-09/22,,
012861,小坂 敏之,A2,79.66,前橋@08/15-08/17;岐阜@08/24-08/26;宇都宮@08/31-09/02;弥彦@09/07-09/09;青森@09/14-09/16,,
012875,中曽 直彦,A2,78.33,立川@08/17-08/19;岐阜@08/30-09/01;弥彦@09/07-09/09;青森@09/26-09/28,,
012876,湯浅 弘光,A3,72.11,立川@08/22-08/24;静岡@08/30-09/01;豊橋@09/11-09/13;広島@09/20-09/22,,
012878,安藤 宜明,A3,74.00,熊本@08/24-08/26;松阪@09/05-09/07;川崎@09/17-09/19,,
012879,石井 毅,A2,81.50,伊東@08/16-08/18;富山@09/03-09/05;豊橋@09/11-09/13;いわき平@09/27-09/29,,
012882,鈴木 愼二,A2,80.77,立川@08/17-08/19;小松島@08/27-08/29;武雄@09/03-09/05;いわき平@09/15-09/17;広島@09/28-09/30,,
012883,大沼 孝行,A3,67.88,別府@08/16-08/18;伊東@09/02-09/04;大垣@09/13-09/15;大宮@09/21-09/23,,
012885,田中 智也,A3,68.25,宇都宮@08/24-08/26;静岡@08/30-09/01;立川@09/16-09/18;川崎@09/24-09/26,,
012886,中井 達郎,A1,89.66,大垣@08/21-08/23;静岡@09/18-09/20;平塚@09/28-09/30,青森,
012891,朝日 勇,A2,80.88,高知@08/18-08/20;松阪@08/25-08/27;四日市@09/09-09/11;静岡@09/18-09/20;防府@09/29-10/01,,
012893,吉野 猛,A3,71.41,松山@08/21-08/23;西武園@09/06-09/08;大垣@09/13-09/15;広島@09/20-09/22,,
012895,小嶋 敬二,A1,93.83,川崎@08/19-08/21;立川@09/03-09/05;富山@09/10-09/12;広島@09/28-09/30,,
012899,中井 護,A2,,,,
012906,太田 良政,A3,65.50,奈良@08/20-08/22;静岡@08/30-09/01;松山@09/19-09/21;平塚@09/28-09/30,,
012910,塩川 真一郎,A3,74.66,別府@08/16-08/18;宇都宮@08/24-08/26;弥彦@09/02-09/04;いわき平@09/15-09/17,,
012913,増田 鉄男,A3,64.80,熊本@08/24-08/26;松山@09/19-09/21;平塚@09/28-09/30,,
012914,武市 和人,A2,76.00,高知@08/18-08/20;玉野@08/26-08/28;防府@09/04-09/06;大宮@09/13-09/15,,
012920,山崎 岳志,A2,85.11,武雄@08/21-08/23;四日市@09/09-09/11;久留米@09/17-09/19,,
012924,太田黒 大心,A2,88.44,佐世保@08/18-08/20;松阪@08/25-08/27;松山@09/19-09/21;防府@09/29-10/01,,
012930,浦崎 貴史,A3,68.66,いわき平@08/30-09/01;大垣@09/13-09/15;大宮@09/21-09/23,西武,
012934,煤賀 隆幸,A3,66.16,宇都宮@08/24-08/26;立川@09/16-09/18;平塚@09/28-09/30,,
012937,十文字 菊雄,A1,83.33,高知@09/09-09/11;静岡@09/18-09/20,,
012938,鈴木 規純,A3,72.11,立川@08/17-08/19;静岡@08/30-09/01;西武園@09/06-09/08;大垣@09/22-09/24,,
012940,小室 貴広,A2,82.23,弥彦@08/18-08/20;岐阜@08/30-09/01;いわき平@09/07-09/09;岸和田@09/14-09/16,,
012944,渡邊 恭典,A2,,立川@08/17-08/19;岐阜@08/30-09/01;西武園@09/06-09/08;岸和田@09/14-09/16;武雄@09/27-09/29,,
012946,亀井 雅斗,A3,72.33,別府@08/16-08/18;宇都宮@08/24-08/26;川崎@09/10-09/12;小松島@09/17-09/19;弥彦@09/24-09/26,,
012953,矢内 良和,A2,81.33,西武園@08/21-08/23;松阪@08/31-09/02;富山@09/10-09/12;いわき平@09/27-09/29,,
012955,太田 真一,A2,79.22,武雄@08/21-08/23;西武園@08/31-09/02;大垣@09/07-09/09,青森,
012956,鈴木 孝征,A2,80.00,前橋@08/15-08/17;高知@08/25-08/27;立川@09/16-09/18;小松島@09/23-09/25,,
012957,宮澤 晃,A2,82.91,四日市@08/17-08/19;西武園@08/31-09/02;川崎@09/10-09/12,,
012960,水書 義弘,A2,86.08,佐世保@08/18-08/20;松山@08/31-09/02;京王閣@09/08-09/10,,
012963,荻野 哲,A2,87.33,西武園@08/21-08/23;豊橋@09/11-09/13;弥彦@09/19-09/21,,
012965,成田 健児,A1,,川崎@09/17-09/19;武雄@09/27-09/29,,
012966,石川 英昭,A3,70.88,立川@08/22-08/24;いわき平@08/30-09/01;武雄@09/16-09/18;弥彦@09/24-09/26,,
012970,山内 大作,A3,64.14,立川@08/22-08/24;いわき平@08/30-09/01;京王閣@09/08-09/10;大宮@09/21-09/23,,
012971,小川 将人,A2,81.83,静岡@08/15-08/17;玉野@08/26-08/28;防府@09/04-09/06;大垣@09/22-09/24,,
012972,金子 貴志,A1,90.11,岸和田@08/27-08/29;防府@09/04-09/06;大垣@09/22-09/24,奈良,
012976,中井 修,A3,69.33,松阪@08/25-08/27;大垣@09/13-09/15;弥彦@09/24-09/26,,
012981,片山 弘城,A1,90.00,松山@08/21-08/23;高知@09/20-09/22;武雄@09/27-09/29,京王,
012982,上原 直樹,A3,67.58,大垣@09/13-09/15;広島@09/20-09/22,,
012986,近藤 直幹,A3,65.35,松山@08/21-08/23;いわき平@08/30-09/01;川崎@09/10-09/12;広島@09/20-09/22,,
012989,森岡 正臣,A1,83.22,松山@08/21-08/23;高知@09/20-09/22;玉野@09/27-09/29,京王,
012992,吉良 勝信,A2,80.37,佐世保@08/18-08/20;松阪@08/25-08/27;玉野@09/08-09/10;弥彦@09/19-09/21,,
012997,後田 康成,A3,68.22,奈良@08/20-08/22;静岡@08/30-09/01;武雄@09/09-09/11;小松島@09/17-09/19,,
013005,小笠原 昭太,A1,87.08,前橋@08/15-08/17;青森@09/14-09/16;大垣@09/22-09/24,,
013006,佐々木 健司,A2,80.60,前橋@08/15-08/17;小倉@08/28-08/30;豊橋@09/04-09/06;青森@09/21-09/23,,
013013,武田 靖夫,A3,,青森@08/24-08/26;西武園@09/06-09/08;川崎@09/17-09/19;弥彦@09/24-09/26,,
013014,江連 和洋,A1,85.11,大垣@08/21-08/23;和歌山@08/30-09/01;弥彦@09/07-09/09;広島@09/28-09/30,,
013023,吉田 英二,A3,68.52,立川@08/22-08/24;松阪@09/05-09/07;いわき平@09/15-09/17;大垣@09/22-09/24,,
013027,戸ノ下 太郎,A3,69.33,別府@08/16-08/18;四日市@08/29-08/31;松阪@09/05-09/07;武雄@09/16-09/18,,
013029,藤田 晃英,A3,66.16,立川@08/17-08/19;青森@08/24-08/26;京王閣@09/08-09/10;小松島@09/17-09/19,,
013030,梶山 大輔,A3,69.75,伊東@08/27-08/29;大垣@09/13-09/15;川崎@09/24-09/26,西武,
013036,深澤 伸介,A2,80.55,立川@08/17-08/19;奈良@08/26-08/28;松阪@09/05-09/07;青森@09/26-09/28,,
013037,町田 勝志,A3,67.11,伊東@08/16-08/18;四日市@08/29-08/31;松阪@09/05-09/07;松山@09/12-09/14,,
013039,松山 正和,A2,77.44,小松島@08/27-08/29;弥彦@09/07-09/09;岸和田@09/14-09/16,青森,
013040,服部 竜二,A3,62.75,奈良@08/20-08/22;武雄@09/16-09/18;別府@09/24-09/26,,
013041,三浦 稔希,A1,83.25,玉野@08/20-08/22;松山@08/31-09/02;いわき平@09/07-09/09,,
013042,渡邊 健,A1,87.11,富山@08/20-08/22;岐阜@08/30-09/01;西武園@09/06-09/08;伊東@09/23-09/25,,
